,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,SMA 126,SMA 252,SMA 756,%K,%D
2018-08-13,19.15999984741211,19.93000030517578,19.1200008392334,19.729999542236328,19.729999542236328,81411300.0,19.729999542236328,0.3158313420748297,14.55936506816319,12.95222220345149,11.593531734098203,89.63726780751792,62.29497053994493
2018-08-14,19.969999313354492,20.280000686645508,19.6299991607666,20.020000457763672,20.020000457763672,89195500.0,20.020000457763672,0.32047358132870596,14.63904761511182,12.992341253492567,11.612857131730943,88.5964846236794,75.61919144578523
2018-08-15,19.860000610351562,20.100000381469727,19.200000762939453,19.700000762939453,19.700000762939453,86355700.0,19.700000762939453,0.31535113148457317,14.717460322001624,13.030833320012169,11.631759249344073,74.56141451608991,84.26505564909573
2018-08-16,19.860000610351562,20.06999969482422,19.25,19.329999923706055,19.329999923706055,69733700.0,19.329999923706055,0.3094282797696637,14.790873020414322,13.06769839922587,11.650423270684701,50.26173618670049,71.13987844215659
2018-08-17,19.1200008392334,19.81999969482422,18.729999542236328,19.770000457763672,19.770000457763672,60616600.0,19.770000457763672,0.31647166357145107,14.868968259720575,13.106706339215476,11.6688491970143,73.29841520286801,66.0405219685528
2018-08-18,19.1200008392334,19.81999969482422,18.729999542236328,19.770000457763672,19.770000457763672,60616600.0,19.770000457763672,0.31647166357145107,14.947063499026829,13.14571427920508,11.687275123343897,73.29841520286801,65.61952219747882
2018-08-19,19.1200008392334,19.81999969482422,18.729999542236328,19.770000457763672,19.770000457763672,60616600.0,19.770000457763672,0.31647166357145107,15.025158738333081,13.184722219194684,11.705701049673495,71.97803407024695,72.85828815866097
2018-08-20,19.790000915527344,20.079999923706055,19.350000381469727,19.979999542236328,19.979999542236328,62983200.0,19.979999542236328,0.31983325983208466,15.103650796981086,13.223690471951924,11.723267186886419,80.64510174774533,75.30718367362009
2018-08-21,19.979999542236328,20.420000076293945,19.860000610351562,20.399999618530273,20.399999618530273,55629000.0,20.399999618530273,0.32655648288556127,15.1820634887332,13.26535713861859,11.741018509107922,98.81654133471474,83.81322571756898
2018-08-22,20.280000686645508,20.920000076293945,20.209999084472656,20.899999618530273,20.899999618530273,62002700.0,20.899999618530273,0.3345603184000712,15.265714282081241,13.308174598784674,11.759603164814136,99.08673731112681,92.8494601311956
2018-08-23,21.190000534057617,22.31999969482422,21.139999389648438,22.290000915527344,22.290000915527344,113444100.0,22.290000915527344,0.3568110018923111,15.36238095873878,13.356428570217556,11.78006612876105,99.16437944228916,99.02255269604355
2018-08-24,22.90999984741211,24.0,22.670000076293945,23.979999542236328,23.979999542236328,164328200.0,23.979999542236328,0.3838639439481637,15.473412702954004,13.410753965377808,11.802711630624438,99.62048470538161,99.29053381959916
2018-08-25,22.90999984741211,24.0,22.670000076293945,23.979999542236328,23.979999542236328,164328200.0,23.979999542236328,0.3838639439481637,15.584444447169227,13.46507936053806,11.825357132487827,99.62048470538161,99.46844961768413
2018-08-26,22.90999984741211,24.0,22.670000076293945,23.979999542236328,23.979999542236328,164328200.0,23.979999542236328,0.3838639439481637,15.695476191384452,13.51940475569831,11.848002634351216,99.62048470538161,99.62048470538161
2018-08-27,24.940000534057617,27.299999237060547,24.6299991607666,25.260000228881836,25.260000228881836,325058400.0,25.260000228881836,0.4043537738569044,15.816269844297379,13.57607142508976,11.872632264460206,76.19604339763569,91.81233760279963
2018-08-28,25.510000228881836,26.18000030517578,24.040000915527344,25.049999237060547,25.049999237060547,215771200.0,25.049999237060547,0.4009921470640614,15.934999995761448,13.632023803771489,11.897486760502769,73.74562333579931,83.18738381293885
2018-08-29,24.360000610351562,25.40999984741211,24.010000228881836,25.200000762939453,25.200000762939453,143223200.0,25.200000762939453,0.4033933221441819,16.057936509450276,13.68845238004412,11.922486761259654,75.49593291830138,75.14586655057877
2018-08-30,25.290000915527344,25.670000076293945,24.760000228881836,24.889999389648438,24.889999389648438,103607300.0,24.889999389648438,0.39843092214199494,16.167857139829604,13.744007931815254,11.946851840094915,71.87864722016725,73.70673449142264
2018-08-31,24.889999389648438,25.239999771118164,24.719999313354492,25.170000076293945,25.170000076293945,65206400.0,25.170000076293945,0.4029130810217159,16.2794444447472,13.80206348782494,11.97140210456949,75.14586655057879,74.17348222968245
2018-09-01,24.889999389648438,25.239999771118164,24.719999313354492,25.170000076293945,25.170000076293945,65206400.0,25.170000076293945,0.4029130810217159,16.39103174966479,13.860119043834626,11.995952369044067,75.14586655057879,74.0567934404416
2018-09-02,24.889999389648438,25.239999771118164,24.719999313354492,25.170000076293945,25.170000076293945,65206400.0,25.170000076293945,0.4029130810217159,16.502619054582382,13.918174599844312,12.020502633518642,73.20755386941113,74.49976232352289
2018-09-03,24.889999389648438,25.239999771118164,24.719999313354492,25.170000076293945,25.170000076293945,65206400.0,25.170000076293945,0.4029130810217159,16.61603175269233,13.976230155853997,12.044960305804299,71.37097373754774,73.2414647191792
